class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid;1;8;4;;;;
/AnkiDroid/gen/com/ichi2/anki;2;2;2;;;;
/AnkiDroid/gen/com/ichi2/anki/BuildConfig.java;2;2;1;;;;
/AnkiDroid/src/com/hlidskialf/android/preference;4;4;2;;;;
/AnkiDroid/src/com/hlidskialf/android/preference/SeekBarPreference.java;4;4;1;;;;
/AnkiDroid/src/com/ichi2/anim;2;2;2;;;;
/AnkiDroid/src/com/ichi2/anim/ActivityTransitionAnimation.java;2;2;1;;;;
/AnkiDroid/src/com/ichi2/anim/ViewAnimation.java;2;2;1;;;;
/AnkiDroid/src/com/ichi2/anki;1;8;2;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java;2;6;1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/AnkiDroidWebChromeClient;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/createWebView/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/createWhiteboard/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/initControls/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/initLayout/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/longClickTestRunnable/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mAnswerCardHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mCardStatisticsListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mDismissCardHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mFlipCardListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mGestureListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mLongClickListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mMarkCardHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mSelectEaseHandler/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mShowAnswerTask/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mShowQuestionTask/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mSimpleInterfaceImagegetter/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mSimpleInterfaceTagHandler/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/mUpdateCardHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/MyGestureDetector;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/MyWebView;6;6;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/MyWebView/scrollXRunnable/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/MyWebView/scrollYRunnable/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/registerExternalStorageListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/removeChosenAnswerText/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/ScrollTextView;4;4;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/ScrollTextView/scrollXRunnable/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/AbstractFlashcardViewer.java/AbstractFlashcardViewer/ScrollTextView/scrollYRunnable/;2;2;-1;;;;
